Country,Publications,Share_Percent
USA,205,30.15
CHINA,80,11.76
AUSTRALIA,46,6.76
GERMANY,45,6.62
CANADA,30,4.41
FRANCE,28,4.12
ITALY,27,3.97
UNITED KINGDOM,26,3.82
NETHERLANDS,18,2.65
SPAIN,18,2.65
SWITZERLAND,18,2.65
KOREA,10,1.47
VIETNAM,10,1.47
MALAYSIA,9,1.32
BELGIUM,8,1.18
FINLAND,7,1.03
MEXICO,7,1.03
NORWAY,7,1.03
SWEDEN,7,1.03
BRAZIL,6,0.88
IRELAND,6,0.88
JAPAN,6,0.88
MOROCCO,5,0.74
NEW ZEALAND,5,0.74
IRAN,4,0.59
CZECH REPUBLIC,3,0.44
PORTUGAL,3,0.44
SAUDI ARABIA,3,0.44
SINGAPORE,3,0.44
ARGENTINA,2,0.29
DENMARK,2,0.29
KENYA,2,0.29
BANGLADESH,1,0.15
BULGARIA,1,0.15
CAMEROON,1,0.15
COLOMBIA,1,0.15
COSTA RICA,1,0.15
CROATIA,1,0.15
EGYPT,1,0.15
HUNGARY,1,0.15
INDIA,1,0.15
INDONESIA,1,0.15
ISRAEL,1,0.15
LITHUANIA,1,0.15
NEPAL,1,0.15
NICARAGUA,1,0.15
PAKISTAN,1,0.15
PERU,1,0.15
POLAND,1,0.15
ROMANIA,1,0.15
SERBIA,1,0.15
SLOVENIA,1,0.15
SOUTH AFRICA,1,0.15
TUNISIA,1,0.15
TURKEY,1,0.15
VENEZUELA,1,0.15
