Title,Year,Authors,Journal,Total_Citations,DOI
MAXIMUM ENTROPY MODELING OF SPECIES GEOGRAPHIC DISTRIBUTIONS,2006,PHILLIPS SJ;ANDERSON RP;SCHAPIRE RE,ECOLOGICAL MODELLING,14224,10.1016/j.ecolmodel.2005.03.026
NOVEL METHODS IMPROVE PREDICTION OF SPECIES' DISTRIBUTIONS FROM OCCURRENCE DATA,2006,ELITH J;GRAHAM CH;ANDERSON RP;DUDÍK M;FERRIER S;GUISAN A;HIJMANS RJ;HUETTMANN F;LEATHWICK JR;LEHMANN A;LI J;LOHMANN LG;LOISELLE BA;MANION G;MORITZ C;NAKAMURA M;NAKAZAWA Y;OVERTON JM;PETERSON;AT AT;PHILLIPS SJ;RICHARDSON K;SCACHETTI-PEREIRA R;SCHAPIRE RE;SOBERÓN J;WILLIAMS S;WISZ MS;ZIMMERMANN;NE NE,ECOGRAPHY,7342,10.1111/j.2006.0906-7590.04596.x
DEEP LEARNING AND PROCESS UNDERSTANDING FOR DATA-DRIVEN EARTH SYSTEM SCIENCE,2019,REICHSTEIN M;CAMPS-VALLS G;STEVENS B;JUNG;MARTIN M;DENZLER J;CARVALHAIS N;PRABHAT P,NATURE,3829,10.1038/s41586-019-0912-1
DISCOVERING GOVERNING EQUATIONS FROM DATA BY SPARSE IDENTIFICATION OF NONLINEAR DYNAMICAL SYSTEMS,2016,BRUNTON SL;PROCTOR JL;KUTZ JN,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,3620,10.1073/pnas.1517384113
AN ASSESSMENT OF THE EFFECTIVENESS OF A RANDOM FOREST CLASSIFIER FOR LAND-COVER CLASSIFICATION,2012,RODRIGUEZ-GALIANO VF;GHIMIRE B;ROGAN J;CHICA-OLMO;M. M;RIGOL-SANCHEZ JP,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2283,10.1016/j.isprsjprs.2011.11.002
RECENT DECLINE IN THE GLOBAL LAND EVAPOTRANSPIRATION TREND DUE TO LIMITED MOISTURE SUPPLY,2010,JUNG M;REICHSTEIN M;CIAIS P;SENEVIRATNE;SONIA I. SI;SHEFFIELD J;GOULDEN ML;BONAN G;CESCATTI A;CHEN J;DE JEU R;DOLMAN AJ;EUGSTER W;GERTEN D;GIANELLE;DAMIANO D;GOBRON N;HEINKE J;KIMBALL J;LAW;BEVERLY E. BE;MONTAGNANI L;MU Q;MUELLER;BRIGITTE B;OLESON K;PAPALE D;RICHARDSON AD;ROUPSARD O;RUNNING S;TOMELLERI E;VIOVY N;WEBER U;WILLIAMS C;WOOD;ERIC E;ZAEHLE S;ZHANG K,NATURE,1876,10.1038/nature09396
SOILGRIDS 2.0: PRODUCING SOIL INFORMATION FOR THE GLOBE WITH QUANTIFIED SPATIAL UNCERTAINTY,2021,POGGIO L;DE SOUSA LM;BATJES NH;HEUVELINK;GERARD B. M. GBM;KEMPEN B;RIBEIRO E;ROSSITER D,SOIL,1552,10.5194/soil-7-217-2021
REMOTE SENSING FOR AGRICULTURAL APPLICATIONS: A META-REVIEW,2020,WEISS M;JACOB F;DUVEILLER G,REMOTE SENSING OF ENVIRONMENT,1422,10.1016/j.rse.2019.111402
GLOBAL THREAT OF ARSENIC IN GROUNDWATER,2020,PODGORSKI J;BERG M,SCIENCE,1247,10.1126/science.aba1510
TIME-SERIES FORECASTING WITH DEEP LEARNING: A SURVEY,2021,LIM B;ZOHREN S,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1224,10.1098/rsta.2020.0209
EVALUATION OF CONSENSUS METHODS IN PREDICTIVE SPECIES DISTRIBUTION MODELLING,2009,MARMION M;PARVIAINEN M;LUOTO M;HEIKKINEN;RISTO K. RK;THUILLER W,DIVERSITY AND DISTRIBUTIONS,1206,10.1111/j.1472-4642.2008.00491.x
FLOOD PREDICTION USING MACHINE LEARNING MODELS: LITERATURE REVIEW,2018,MOSAVI A;OZTURK P;CHAU K,WATER,1169,10.3390/w10111536
"GLOBAL PATTERNS OF LAND-ATMOSPHERE FLUXES OF CARBON DIOXIDE, LATENT HEAT, AND SENSIBLE HEAT DERIVED FROM EDDY COVARIANCE, SATELLITE, AND METEOROLOGICAL OBSERVATIONS",2011,JUNG M;REICHSTEIN M;MARGOLIS HA;CESCATTI;ALESSANDRO A;RICHARDSON AD;ARAIN MA;ARNETH;ALMUT A;BERNHOFER C;BONAL D;CHEN J;GIANELLE D;GOBRON N;KIELY G;KUTSCH;WERNER W;LASSLOP G;LAW BE;LINDROTH A;MERBOLD L;MONTAGNANI L;MOORS EJ;PAPALE;DARIO D;SOTTOCORNOLA M;VACCARI F;WILLIAMS;CHRISTOPHER C,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,1095,10.1029/2010JG001566
"SOIL CARBON DEBT OF 12,000 YEARS OF HUMAN LAND USE",2017,SANDERMAN J;HENGL T;FISKE GJ,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1036,10.1073/pnas.1706103114
EVALUATING PREDICTIVE MODELS OF SPECIES' DISTRIBUTIONS: CRITERIA FOR SELECTING OPTIMAL MODELS,2003,ANDERSON RP;LEW D;PETERSON AT,ECOLOGICAL MODELLING,956,10.1016/S0304-3800(02)00349-6
A SURVEY OF METHODS FOR TIME SERIES CHANGE POINT DETECTION,2017,AMINIKHANGHAHI S;COOK DJ,KNOWLEDGE AND INFORMATION SYSTEMS,912,10.1007/s10115-016-0987-z
A REVIEW AND EVALUATION OF THE STATE-OF-THE-ART IN PV SOLAR POWER FORECASTING: TECHNIQUES AND OPTIMIZATION,2020,AHMED R;SREERAM V;MISHRA Y;ARIF MD,RENEWABLE \& SUSTAINABLE ENERGY REVIEWS,853,10.1016/j.rser.2020.109792
FORECASTING OF PHOTOVOLTAIC POWER GENERATION AND MODEL OPTIMIZATION: A REVIEW,2018,DAS UK;TEY KS;SEYEDMAHMOUDIAN M;MEKHILEF S;IDRIS MYI;VAN DEVENTER W;HORAN B;STOJCEVSKI A,RENEWABLE \& SUSTAINABLE ENERGY REVIEWS,853,10.1016/j.rser.2017.08.017
MACHINE LEARNING-ACCELERATED COMPUTATIONAL FLUID DYNAMICS,2021,KOCHKOV D;SMITH JA;ALIEVA A;WANG Q;BRENNER MP;HOYER S,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,838,10.1073/pnas.2101784118
GLOBAL PREDICTIONS OF PRIMARY SOIL SALINIZATION UNDER CHANGING CLIMATE IN THE 21ST CENTURY,2021,HASSANI A;AZAPAGIC A;SHOKRI N,NATURE COMMUNICATIONS,771,10.1038/s41467-021-26907-3
"AN OVERVIEW OF GLOBAL LEAF AREA INDEX (LAI): METHODS, PRODUCTS, VALIDATION, AND APPLICATIONS",2019,FANG H;BARET F;PLUMMER S;SCHAEPMAN-STRUB G,REVIEWS OF GEOPHYSICS,752,10.1029/2018RG000608
"ARTIFICIAL INTELLIGENCE FOR SUSTAINABILITY: CHALLENGES, OPPORTUNITIES, AND A RESEARCH AGENDA",2020,NISHANT R;KENNEDY M;CORBETT J,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,698,10.1016/j.ijinfomgt.2020.102104
PREDICTIVE VEGETATION MAPPING: GEOGRAPHIC MODELLING OF BIOSPATIAL PATTERNS IN RELATION TO ENVIRONMENTAL GRADIENTS,1995,FRANKLIN J,PROGRESS IN PHYSICAL GEOGRAPHY,672,10.1177/030913339501900403
